KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
susan	0.040	0.080	0.020	0.377
susan	0.040	0.080	0.040	0.378
susan	0.040	0.080	0.060	0.378
susan	0.040	0.080	0.080	0.378
susan	0.040	0.080	0.100	0.378
susan	0.040	0.100	0.020	0.118
susan	0.040	0.100	0.040	0.391
susan	0.040	0.100	0.060	0.117
susan	0.040	0.100	0.080	0.117
susan	0.040	0.100	0.100	0.550
susan	0.060	0.020	0.020	0.117
susan	0.060	0.020	0.040	0.117
susan	0.060	0.020	0.060	0.117
susan	0.060	0.020	0.080	0.118
susan	0.060	0.020	0.100	0.117
susan	0.060	0.040	0.020	0.117
susan	0.060	0.040	0.040	0.117
susan	0.060	0.040	0.060	0.376
susan	0.060	0.040	0.080	0.376
susan	0.060	0.040	0.100	0.376
susan	0.060	0.060	0.020	0.441
susan	0.060	0.060	0.040	0.354
susan	0.060	0.060	0.060	0.463
susan	0.060	0.060	0.080	0.463
susan	0.060	0.060	0.100	0.463
susan	0.060	0.080	0.020	0.377
susan	0.060	0.080	0.040	0.378
susan	0.060	0.080	0.060	0.378
susan	0.060	0.080	0.080	0.378
susan	0.060	0.080	0.100	0.378
susan	0.060	0.100	0.020	0.118
susan	0.060	0.100	0.040	0.391
susan	0.060	0.100	0.060	0.117
susan	0.060	0.100	0.080	0.117
susan	0.060	0.100	0.100	0.550
susan	0.080	0.020	0.020	0.117
susan	0.080	0.020	0.040	0.117
susan	0.080	0.020	0.060	0.117
susan	0.080	0.020	0.080	0.118
susan	0.080	0.020	0.100	0.117
susan	0.080	0.040	0.020	0.117
susan	0.080	0.040	0.040	0.117
susan	0.080	0.040	0.060	0.117
susan	0.080	0.040	0.080	0.449
susan	0.080	0.040	0.100	0.117
susan	0.080	0.060	0.020	0.441
susan	0.080	0.060	0.040	0.354
susan	0.080	0.060	0.060	0.463
susan	0.080	0.060	0.080	0.463
susan	0.080	0.060	0.100	0.463
susan	0.080	0.080	0.020	0.377
susan	0.080	0.080	0.040	0.378
susan	0.080	0.080	0.060	0.378
susan	0.080	0.080	0.080	0.378
susan	0.080	0.080	0.100	0.378
susan	0.080	0.100	0.020	0.118
susan	0.080	0.100	0.040	0.391
susan	0.080	0.100	0.060	0.117
susan	0.080	0.100	0.080	0.117
susan	0.080	0.100	0.100	0.550
susan	0.100	0.020	0.020	0.117
susan	0.100	0.020	0.040	0.117
susan	0.100	0.020	0.060	0.117
susan	0.100	0.020	0.080	0.118
susan	0.100	0.020	0.100	0.117
susan	0.100	0.040	0.020	0.117
susan	0.100	0.040	0.040	0.117
susan	0.100	0.040	0.060	0.117
susan	0.100	0.040	0.080	0.449
susan	0.100	0.040	0.100	0.117
susan	0.100	0.060	0.020	0.441
susan	0.100	0.060	0.040	0.354
susan	0.100	0.060	0.060	0.463
susan	0.100	0.060	0.080	0.463
susan	0.100	0.060	0.100	0.463
susan	0.100	0.080	0.020	0.343
susan	0.100	0.080	0.040	0.343
susan	0.100	0.080	0.060	0.343
susan	0.100	0.080	0.080	0.343
susan	0.100	0.080	0.100	0.343
susan	0.100	0.100	0.020	0.118
susan	0.100	0.100	0.040	0.118
susan	0.100	0.100	0.060	0.118
susan	0.100	0.100	0.080	0.550
susan	0.100	0.100	0.100	0.550
harris3D	0.020	0.020	0.020	0.068
harris3D	0.020	0.020	0.040	0.068
harris3D	0.020	0.020	0.060	0.401
harris3D	0.020	0.020	0.080	0.060
harris3D	0.020	0.020	0.100	0.060
harris3D	0.020	0.040	0.020	0.414
harris3D	0.020	0.040	0.040	0.414
harris3D	0.020	0.040	0.060	0.414
harris3D	0.020	0.040	0.080	0.414
harris3D	0.020	0.040	0.100	0.414
harris3D	0.020	0.060	0.020	0.468
harris3D	0.020	0.060	0.040	0.468
harris3D	0.020	0.060	0.060	0.468
harris3D	0.020	0.060	0.080	0.468
harris3D	0.020	0.060	0.100	0.468
harris3D	0.020	0.080	0.020	0.068
harris3D	0.020	0.080	0.040	0.068
harris3D	0.020	0.080	0.060	0.068
harris3D	0.020	0.080	0.080	0.068
harris3D	0.020	0.080	0.100	0.068
harris3D	0.020	0.100	0.020	0.060
harris3D	0.020	0.100	0.040	0.068
harris3D	0.020	0.100	0.060	0.414
harris3D	0.020	0.100	0.080	0.414
harris3D	0.020	0.100	0.100	0.414
harris3D	0.040	0.020	0.020	0.068
