KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
susan	0.020	0.080	0.020	0.376
susan	0.020	0.080	0.040	0.376
susan	0.020	0.080	0.060	0.376
susan	0.020	0.080	0.080	0.376
susan	0.020	0.080	0.100	0.376
susan	0.020	0.100	0.020	0.101
susan	0.020	0.100	0.040	0.101
susan	0.020	0.100	0.060	0.620
susan	0.020	0.100	0.080	0.657
susan	0.020	0.100	0.100	0.657
susan	0.040	0.020	0.020	0.095
susan	0.040	0.020	0.040	0.271
susan	0.040	0.020	0.060	0.271
susan	0.040	0.020	0.080	0.956
susan	0.040	0.020	0.100	0.686
susan	0.040	0.040	0.020	0.257
susan	0.040	0.040	0.040	0.257
susan	0.040	0.040	0.060	0.257
susan	0.040	0.040	0.080	0.662
susan	0.040	0.040	0.100	0.257
susan	0.040	0.060	0.020	0.487
susan	0.040	0.060	0.040	0.423
susan	0.040	0.060	0.060	1.152
susan	0.040	0.060	0.080	1.152
susan	0.040	0.060	0.100	1.152
susan	0.040	0.080	0.020	0.376
susan	0.040	0.080	0.040	0.376
susan	0.040	0.080	0.060	0.376
susan	0.040	0.080	0.080	0.376
susan	0.040	0.080	0.100	0.376
susan	0.040	0.100	0.020	0.101
susan	0.040	0.100	0.040	0.101
susan	0.040	0.100	0.060	0.620
susan	0.040	0.100	0.080	0.657
susan	0.040	0.100	0.100	0.657
susan	0.060	0.020	0.020	0.095
susan	0.060	0.020	0.040	0.271
susan	0.060	0.020	0.060	0.271
susan	0.060	0.020	0.080	0.956
susan	0.060	0.020	0.100	0.686
susan	0.060	0.040	0.020	0.522
susan	0.060	0.040	0.040	0.257
susan	0.060	0.040	0.060	0.619
susan	0.060	0.040	0.080	0.930
susan	0.060	0.040	0.100	0.257
susan	0.060	0.060	0.020	0.487
susan	0.060	0.060	0.040	0.423
susan	0.060	0.060	0.060	0.423
susan	0.060	0.060	0.080	0.423
susan	0.060	0.060	0.100	1.205
susan	0.060	0.080	0.020	0.363
susan	0.060	0.080	0.040	0.726
susan	0.060	0.080	0.060	0.621
susan	0.060	0.080	0.080	0.621
susan	0.060	0.080	0.100	0.621
susan	0.060	0.100	0.020	0.089
susan	0.060	0.100	0.040	0.556
susan	0.060	0.100	0.060	0.630
susan	0.060	0.100	0.080	0.630
susan	0.060	0.100	0.100	0.629
susan	0.080	0.020	0.020	0.095
susan	0.080	0.020	0.040	0.271
susan	0.080	0.020	0.060	0.271
susan	0.080	0.020	0.080	0.956
susan	0.080	0.020	0.100	0.686
susan	0.080	0.040	0.020	0.257
susan	0.080	0.040	0.040	0.257
susan	0.080	0.040	0.060	0.574
susan	0.080	0.040	0.080	0.360
susan	0.080	0.040	0.100	0.574
susan	0.080	0.060	0.020	0.487
susan	0.080	0.060	0.040	0.423
susan	0.080	0.060	0.060	1.152
susan	0.080	0.060	0.080	1.152
susan	0.080	0.060	0.100	1.152
susan	0.080	0.080	0.020	0.712
susan	0.080	0.080	0.040	0.511
susan	0.080	0.080	0.060	0.511
susan	0.080	0.080	0.080	0.511
susan	0.080	0.080	0.100	0.511
susan	0.080	0.100	0.020	0.089
susan	0.080	0.100	0.040	0.556
susan	0.080	0.100	0.060	0.630
susan	0.080	0.100	0.080	0.630
susan	0.080	0.100	0.100	0.629
susan	0.100	0.020	0.020	0.095
susan	0.100	0.020	0.040	0.271
susan	0.100	0.020	0.060	0.271
susan	0.100	0.020	0.080	0.956
susan	0.100	0.020	0.100	0.686
susan	0.100	0.040	0.020	0.257
susan	0.100	0.040	0.040	0.257
susan	0.100	0.040	0.060	0.257
susan	0.100	0.040	0.080	0.662
susan	0.100	0.040	0.100	0.257
susan	0.100	0.060	0.020	0.487
susan	0.100	0.060	0.040	0.423
susan	0.100	0.060	0.060	1.152
susan	0.100	0.060	0.080	1.152
susan	0.100	0.060	0.100	1.152
susan	0.100	0.080	0.020	0.376
susan	0.100	0.080	0.040	0.376
susan	0.100	0.080	0.060	0.376
susan	0.100	0.080	0.080	0.376
susan	0.100	0.080	0.100	0.376
susan	0.100	0.100	0.020	0.101
susan	0.100	0.100	0.040	0.101
susan	0.100	0.100	0.060	0.620
susan	0.100	0.100	0.080	0.657
susan	0.100	0.100	0.100	0.657
harris3D	0.020	0.020	0.020	0.307
harris3D	0.020	0.020	0.040	0.415
harris3D	0.020	0.020	0.060	0.692
harris3D	0.020	0.020	0.080	0.442
harris3D	0.020	0.020	0.100	0.442
harris3D	0.020	0.040	0.020	0.759
harris3D	0.020	0.040	0.040	0.759
harris3D	0.020	0.040	0.060	0.759
harris3D	0.020	0.040	0.080	0.759
harris3D	0.020	0.040	0.100	0.759
harris3D	0.020	0.060	0.020	0.561
harris3D	0.020	0.060	0.040	0.561
harris3D	0.020	0.060	0.060	0.561
harris3D	0.020	0.060	0.080	0.561
harris3D	0.020	0.060	0.100	0.561
harris3D	0.020	0.080	0.020	0.443
harris3D	0.020	0.080	0.040	0.443
harris3D	0.020	0.080	0.060	0.443
harris3D	0.020	0.080	0.080	0.443
harris3D	0.020	0.080	0.100	0.443
harris3D	0.020	0.100	0.020	0.072
harris3D	0.020	0.100	0.040	0.583
harris3D	0.020	0.100	0.060	0.522
harris3D	0.020	0.100	0.080	0.522
harris3D	0.020	0.100	0.100	0.522
harris3D	0.040	0.020	0.020	0.307
harris3D	0.040	0.020	0.040	0.415
harris3D	0.040	0.020	0.060	0.692
harris3D	0.040	0.020	0.080	0.442
harris3D	0.040	0.020	0.100	0.442
harris3D	0.040	0.040	0.020	0.759
harris3D	0.040	0.040	0.040	0.759
harris3D	0.040	0.040	0.060	0.759
harris3D	0.040	0.040	0.080	0.759
harris3D	0.040	0.040	0.100	0.759
harris3D	0.040	0.060	0.020	0.561
harris3D	0.040	0.060	0.040	0.561
harris3D	0.040	0.060	0.060	0.561
harris3D	0.040	0.060	0.080	0.561
harris3D	0.040	0.060	0.100	0.561
