KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
susan	0.080	0.020	0.100	0.365
susan	0.080	0.040	0.020	0.061
susan	0.080	0.040	0.040	0.126
susan	0.080	0.040	0.060	0.126
susan	0.080	0.040	0.080	0.126
susan	0.080	0.040	0.100	0.126
susan	0.080	0.060	0.020	0.116
susan	0.080	0.060	0.040	0.073
susan	0.080	0.060	0.060	0.073
susan	0.080	0.060	0.080	0.073
susan	0.080	0.060	0.100	0.073
susan	0.080	0.080	0.020	0.137
susan	0.080	0.080	0.040	0.118
susan	0.080	0.080	0.060	0.192
susan	0.080	0.080	0.080	0.192
susan	0.080	0.080	0.100	0.207
susan	0.080	0.100	0.020	0.038
susan	0.080	0.100	0.040	0.038
susan	0.080	0.100	0.060	0.248
susan	0.080	0.100	0.080	0.248
susan	0.080	0.100	0.100	0.248
susan	0.100	0.020	0.020	0.021
susan	0.100	0.020	0.040	0.021
susan	0.100	0.020	0.060	0.021
susan	0.100	0.020	0.080	0.021
susan	0.100	0.020	0.100	0.021
susan	0.100	0.040	0.020	0.021
susan	0.100	0.040	0.040	0.146
susan	0.100	0.040	0.060	0.133
susan	0.100	0.040	0.080	0.133
susan	0.100	0.040	0.100	0.133
susan	0.100	0.060	0.020	0.021
susan	0.100	0.060	0.040	0.021
susan	0.100	0.060	0.060	0.021
susan	0.100	0.060	0.080	0.021
susan	0.100	0.060	0.100	0.021
susan	0.100	0.080	0.020	0.094
susan	0.100	0.080	0.040	0.167
susan	0.100	0.080	0.060	0.167
susan	0.100	0.080	0.080	0.167
susan	0.100	0.080	0.100	0.167
susan	0.100	0.100	0.020	0.021
susan	0.100	0.100	0.040	0.102
susan	0.100	0.100	0.060	0.229
susan	0.100	0.100	0.080	0.229
susan	0.100	0.100	0.100	0.229
harris3D	0.020	0.020	0.020	0.074
harris3D	0.020	0.020	0.040	0.074
harris3D	0.020	0.020	0.060	0.074
harris3D	0.020	0.020	0.080	0.074
harris3D	0.020	0.020	0.100	0.074
harris3D	0.020	0.040	0.020	0.020
harris3D	0.020	0.040	0.040	0.020
harris3D	0.020	0.040	0.060	0.066
harris3D	0.020	0.040	0.080	0.020
harris3D	0.020	0.040	0.100	0.020
harris3D	0.020	0.060	0.020	0.087
harris3D	0.020	0.060	0.040	0.024
harris3D	0.020	0.060	0.060	0.024
harris3D	0.020	0.060	0.080	0.024
harris3D	0.020	0.060	0.100	0.024
harris3D	0.020	0.080	0.020	0.083
harris3D	0.020	0.080	0.040	0.146
harris3D	0.020	0.080	0.060	0.236
harris3D	0.020	0.080	0.080	0.399
