KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
us	0.100	0.060	0.100	9.903
us	0.100	0.080	0.020	9.903
us	0.100	0.080	0.040	9.903
us	0.100	0.080	0.060	9.903
us	0.100	0.080	0.080	9.903
us	0.100	0.080	0.100	9.903
us	0.100	0.100	0.020	9.903
us	0.100	0.100	0.040	9.903
us	0.100	0.100	0.060	9.903
us	0.100	0.100	0.080	9.903
us	0.100	0.100	0.100	9.903
susan	0.020	0.020	0.020	0.033
susan	0.020	0.020	0.040	0.033
susan	0.020	0.020	0.060	0.033
susan	0.020	0.020	0.080	0.033
susan	0.020	0.020	0.100	0.033
susan	0.020	0.040	0.020	0.268
susan	0.020	0.040	0.040	0.033
susan	0.020	0.040	0.060	0.033
susan	0.020	0.040	0.080	0.034
susan	0.020	0.040	0.100	0.268
susan	0.020	0.060	0.020	0.415
susan	0.020	0.060	0.040	0.263
susan	0.020	0.060	0.060	0.268
susan	0.020	0.060	0.080	0.263
susan	0.020	0.060	0.100	0.288
susan	0.020	0.080	0.020	0.190
susan	0.020	0.080	0.040	0.033
susan	0.020	0.080	0.060	0.179
susan	0.020	0.080	0.080	0.176
susan	0.020	0.080	0.100	0.176
susan	0.020	0.100	0.020	0.335
susan	0.020	0.100	0.040	0.332
susan	0.020	0.100	0.060	0.332
susan	0.020	0.100	0.080	0.336
susan	0.020	0.100	0.100	0.332
susan	0.040	0.020	0.020	0.033
susan	0.040	0.020	0.040	0.033
susan	0.040	0.020	0.060	0.033
susan	0.040	0.020	0.080	0.033
susan	0.040	0.020	0.100	0.033
susan	0.040	0.040	0.020	0.268
susan	0.040	0.040	0.040	0.033
susan	0.040	0.040	0.060	0.033
susan	0.040	0.040	0.080	0.034
susan	0.040	0.040	0.100	0.268
susan	0.040	0.060	0.020	0.415
susan	0.040	0.060	0.040	0.263
susan	0.040	0.060	0.060	0.268
susan	0.040	0.060	0.080	0.263
susan	0.040	0.060	0.100	0.288
susan	0.040	0.080	0.020	0.190
susan	0.040	0.080	0.040	0.033
susan	0.040	0.080	0.060	0.179
susan	0.040	0.080	0.080	0.176
susan	0.040	0.080	0.100	0.176
susan	0.040	0.100	0.020	0.335
susan	0.040	0.100	0.040	0.332
susan	0.040	0.100	0.060	0.332
susan	0.040	0.100	0.080	0.336
susan	0.040	0.100	0.100	0.332
